,0
0,0.014367187889764358
1,0.000923283838621032
2,0.0008762875251837143
3,0.000837173578584301
4,0.0007882806801904466
5,0.0007686682391165711
6,0.0007419322793554677
7,0.0007130345960993822
8,0.000685279305596125
9,0.000662513091674794
10,0.0006424537427302527
11,0.0006169795318584885
12,0.0006021081662383911
13,0.0005807674369072176
14,0.0005663812207038653
15,0.0005508388354885273
16,0.0005292319456906992
17,0.0005170246807936963
18,0.0005028563530464779
19,0.00048155806543845005
20,0.0004653626337700263
21,0.00045651273849523687
22,0.00043912595078399137
23,0.00043127544166051193
24,0.0004197237819950153
25,0.0004108851496139877
26,0.00039479303840446624
27,0.00038608789854466296
28,0.0003718672167538036
29,0.0003653216477588585
30,0.00034955610042671555
31,0.0003378589781484756
32,0.0003346967774914896
33,0.0003243872626424166
34,0.00030955791290446986
35,0.0003060542582409161
36,0.00030195595945795673
37,0.00029570305015835417
38,0.00028711134406984206
39,0.00027883343165277996
40,0.0002743193828202609
41,0.0002673470748946892
42,0.00026204207878926963
43,0.00025620582598598346
44,0.0002531548688091212
45,0.0002486962575921939
46,0.00024159558373990214
47,0.00023702530105329292
48,0.0002350177306971201
49,0.00022977080249203733
50,0.00022595503838531713
51,0.00022227509837010397
52,0.0002170877194404229
53,0.00021480352957261534
54,0.0002123181034345936
55,0.0002068594448281017
56,0.00020614286713324252
57,0.00020288665460161358
58,0.00019935799143344022
59,0.00019866056977921917
60,0.0001964514357442767
61,0.000194071091587558
62,0.00019310955469313475
63,0.00018867007754596625
64,0.0001875736943590023
65,0.00018659622291588025
66,0.0001849092068025923
67,0.00018156892568840473
68,0.00018156874182097542
69,0.00017817322666232905
70,0.00017956440382259752
71,0.0001755866803317159
72,0.0001760013377969234
73,0.0001734493244135561
74,0.00017323194801867337
75,0.00017315614745967112
76,0.00016933954808250396
77,0.000170226775427884
78,0.00016956030455854285
79,0.00016771141339800427
80,0.00016554974682037176
81,0.00016608759731339174
82,0.00016429062154597703
83,0.0001609441964460628
84,0.00016153315664068586
85,0.00016299019871931358
86,0.00016111444836828967
87,0.00015877519575686143
88,0.0001586102602421416
89,0.00015643570321445104
90,0.00015749200421971297
91,0.0001567990267879395
92,0.0001571261873806592
93,0.00015494255887686846
